LOC,STU_ID,NAME,DEUSS,ELL,ESE,ETHN,GRADE,2526 Absences,COURSE_TITLE,TEACHER_NAME,Period,Exc Abs,Unexc Abs,Q1_Grade,Q2_Grade,FAST_ELA_PM3.Level,FAST_ELA_PM3.%tile,FAST_ELA_PM3.SS,FAST_ELA_PM2.Level,FAST_ELA_PM2.%tile,FAST_ELA_PM2.SS,FAST_ELA_PM1.Level,FAST_ELA_PM1.%tile,FAST_ELA_PM1.SS,FAST_EarlyLit_PM1.Unified SS,2425 ELA_TEST,2425 ELA_Lvl,2425 ELA_%tile,2425 ELA_SS,2425 STAR FAST Equivalent ELA Lvl,2425 STAR FAST Equivalent ELA SS,AP2 ELA Level,AP2 ELA_Placement,AP2 ELA SS,AP1.ELA Level,AP1.ELA Placement,AP1.ELA SS,ELA Pts4LG,ELA L25/35,FAST_Math_PM3.Level,FAST_Math_PM3.%tile,FAST_Math_PM3.SS,FAST_Math_PM2.Level,FAST_Math_PM2.%tile,FAST_Math_PM2.SS,FAST_Math_PM1.Level,FAST_Math_PM1.%tile,FAST_Math_PM1.SS,2425 MATH_TEST,2425 MATH_Lvl,2425 MATH_%tile,2425 MATH_SS,AP2 Math Level,AP2 Math Placement,AP2 Math SS,AP1.Math Level,AP1.Math.Placement,AP1.Math SS,Math.Pts4LG,MATH L25/35,2425 SCI_TEST,2425 SCI_Lvl,2425 SOC_TEST,2425 SOC_Lvl,STUDENT_FLEID,FTE,Cnt4Prof
6128,7423388,"Student, E561",,N,N,H,6,4,M/J Grade 6 Accel,"Williams, A.",7,2,2,B,A,5,85,263,5,90,263,5,80,263,,FAST ELA,4,72,235,,,,,,,,,15,,5,99,283,5,83,272,5,81,272,FAST MATH,4,59,236,,,,,,,18,,SCI_05,3,,,FL3055125183,,
6128,7550634,"Student, C868",,N,Y,H,6,9,M/J Grade 6 Math,"Garcia, M.",1,4,5,B,C,4,70,245,4,60,237,3,54,231,,FAST ELA,3,58,225,,,,,,,,,12,,4,74,252,4,71,243,3,52,236,FAST MATH,2.2,50,219,,,,,,,10,,SCI_05,5,,,FL8647429897,,
6128,5304572,"Student, E317",,N,N,H,6,2,M/J Grade 6 Math,"Rodriguez, J.",3,0,2,D,C,4,64,237,3,53,233,3,54,226,,FAST ELA,2.1,38,205,,,,,,,,,12,,4,69,252,4,71,243,3,55,236,FAST MATH,2.2,48,210,,,,,,,19,,SCI_05,2,,,FL6633664919,,
6128,3234489,"Student, W866",,N,N,W,6,1,M/J Grade 6 Accel,"Williams, A.",4,0,1,A,A,5,76,259,5,76,271,5,86,270,,FAST ELA,5,89,250,,,,,,,,,0,,5,87,267,5,80,261,5,78,256,FAST MATH,4,64,241,,,,,,,13,,SCI_05,3,,,FL9603424683,,
6128,8204212,"Student, N970",,N,N,H,6,0,M/J Grade 6 Math,"Chen, L.",5,0,0,C,C,3,54,227,2,50,224,2,45,217,,FAST ELA,1.3,34,197,,,,,,,,,12,L35,3,44,231,3,50,236,3,59,236,FAST MATH,3,55,230,,,,,,,9,,SCI_05,3,,,FL9054805846,,
6128,5472471,"Student, I306",,N,N,H,6,22,M/J Grade 6 Math,"Rodriguez, J.",7,14,8,F,D,1,11,173,1,40,196,1,32,188,,FAST ELA,1.3,34,191,,,,,,,,,18,L35,4,65,241,3,61,233,3,53,231,FAST MATH,2.1,33,203,,,,,,,18,L35,SCI_05,3,,,FL2897286720,,
6128,5523669,"Student, O957",,Y,N,W,6,4,M/J Grade 6 Math,"Williams, A.",2,1,3,D,C,1,39,208,2,46,213,1,36,208,,FAST ELA,1.3,40,193,,,,,,,,,16,,3,55,230,3,54,232,3,54,229,FAST MATH,3,46,225,,,,,,,14,,SCI_05,3,,,FL4071702454,,
6128,8404852,"Student, J991",,N,Y,H,6,9,M/J Grade 6 Math,"Chen, L.",3,5,4,C,C,1,37,203,1,38,208,1,33,204,,FAST ELA,1.3,39,199,,,,,,,,,10,,3,56,232,2,44,222,2,52,220,FAST MATH,2.1,32,199,,,,,,,22,L35,SCI_05,2,,,FL6505800372,,
6128,5981505,"Student, M790",,N,N,H,6,20,M/J Grade 6 Accel,"Garcia, M.",1,13,7,A,A,5,90,271,5,89,273,5,81,265,,FAST ELA,5,80,252,,,,,,,,,0,,5,87,279,5,80,263,5,74,260,FAST MATH,5,91,265,,,,,,,0,,SCI_05,2,,,FL1819161877,,
6128,2766891,"Student, G340",,N,N,H,6,0,M/J Grade 6 Math,"Williams, A.",6,0,0,D,D,3,52,230,2,45,217,2,42,209,,FAST ELA,1.3,28,189,,,,,,,,,20,L35,3,57,233,3,49,237,3,60,236,FAST MATH,3,54,222,,,,,,,17,,,,,,FL2490621528,,
